"","Species","Gene","Chromosome","peakStart","peakStop","GeneDirection","GeneStart","GeneStop","Distance","Proxy","Kd_Zenith","Kd_Max","ERE","Mis1_Max","Mis2_Max","Mis3_Max","Half","Info"
"25","Gorilla_gorilla","SHMT2","12",28922500,28925000,"-",28894661,28889302,27839,"Up",28922500,0.00303013,0,1,0,0,1,"ID=gene19878;Dbxref=GeneID:101134424;Name=SHMT2;gbkey=Gene;gene=SHMT2;gene_biotype=protein_coding"
"26","Gorilla_gorilla","SHMT2","12",28932000,28934000,"-",28894661,28889302,37339,"Up",28932000,0.00308925,0,0,0,7,7,"ID=gene19878;Dbxref=GeneID:101134424;Name=SHMT2;gbkey=Gene;gene=SHMT2;gene_biotype=protein_coding"
"27","Gorilla_gorilla","SHMT2","12",28941000,28943500,"-",28894661,28889302,46339,"Up",28941000,0.00304744,0,1,0,0,1,"ID=gene19878;Dbxref=GeneID:101134424;Name=SHMT2;gbkey=Gene;gene=SHMT2;gene_biotype=protein_coding"
"28","Gorilla_gorilla","SHMT2","12",28943500,28946000,"-",28894661,28889302,48839,"Up",28943500,0.00303258,0,1,0,2,3,"ID=gene19878;Dbxref=GeneID:101134424;Name=SHMT2;gbkey=Gene;gene=SHMT2;gene_biotype=protein_coding"
"11","Gorilla_gorilla","SUOX","12",30058000,30060000,"-",30117914,30109502,49502,"Down",30058000,0.00301496,0,1,1,2,4,"ID=gene19929;Dbxref=GeneID:101136799;Name=SUOX;gbkey=Gene;gene=SUOX;gene_biotype=protein_coding"
"29","Gorilla_gorilla","SUOX","12",30121000,30123500,"-",30117914,30109502,3086,"Up",30121000,0.00422712,1,0,0,1,2,"ID=gene19929;Dbxref=GeneID:101136799;Name=SUOX;gbkey=Gene;gene=SUOX;gene_biotype=protein_coding"
"30","Gorilla_gorilla","SUOX","12",30133000,30135500,"-",30117914,30109502,15086,"Up",30133000,0.00315692,0,1,0,3,4,"ID=gene19929;Dbxref=GeneID:101136799;Name=SUOX;gbkey=Gene;gene=SUOX;gene_biotype=protein_coding"
"31","Gorilla_gorilla","SUOX","12",30160500,30162500,"-",30117914,30109502,42586,"Up",30160500,0.00308867,0,1,2,1,4,"ID=gene19929;Dbxref=GeneID:101136799;Name=SUOX;gbkey=Gene;gene=SUOX;gene_biotype=protein_coding"
"12","Gorilla_gorilla","HOXC13","12",32220500,32222500,"-",32231204,32223437,937,"Down",32220500,0.00303853,0,1,0,0,1,"ID=gene20015;Dbxref=GeneID:101142337;Name=HOXC13;gbkey=Gene;gene=HOXC13;gene_biotype=protein_coding"
"32","Gorilla_gorilla","HOXC13","12",32269000,32271500,"-",32231204,32223437,37796,"Up",32269000,0.00312518,0,2,0,1,3,"ID=gene20015;Dbxref=GeneID:101142337;Name=HOXC13;gbkey=Gene;gene=HOXC13;gene_biotype=protein_coding"
"13","Gorilla_gorilla","KRT7","12",33863500,33865500,"-",33897522,33881680,16180,"Down",33863500,0.0030305,0,0,0,4,4,"ID=gene20076;Dbxref=GeneID:101151627;Name=KRT7;gbkey=Gene;gene=KRT7;gene_biotype=protein_coding"
"33","Gorilla_gorilla","KRT7","12",33901000,33903000,"-",33897522,33881680,3478,"Up",33901000,0.00302418,0,1,0,2,3,"ID=gene20076;Dbxref=GeneID:101151627;Name=KRT7;gbkey=Gene;gene=KRT7;gene_biotype=protein_coding"
"34","Gorilla_gorilla","KRT7","12",33924500,33927000,"-",33897522,33881680,26978,"Up",33924500,0.00317724,0,2,0,1,3,"ID=gene20076;Dbxref=GeneID:101151627;Name=KRT7;gbkey=Gene;gene=KRT7;gene_biotype=protein_coding"
"40","Gorilla_gorilla","NR4A1","12",34092000,34094500,"-",34100638,34078525,-6138,"Inter",34092000,0.00306784,0,1,2,2,5,"ID=gene20085;Dbxref=GeneID:101148131;Name=NR4A1;gbkey=Gene;gene=NR4A1;gene_biotype=protein_coding"
"35","Gorilla_gorilla","NR4A1","12",34127000,34129000,"-",34100638,34078525,26362,"Up",34127000,0.00302141,0,1,0,2,3,"ID=gene20085;Dbxref=GeneID:101148131;Name=NR4A1;gbkey=Gene;gene=NR4A1;gene_biotype=protein_coding"
"14","Gorilla_gorilla","WNT1","12",37126000,37128500,"-",37181023,37176852,48352,"Down",37126000,0.00314406,0,0,0,0,0,"ID=gene20159;Dbxref=GeneID:101143181;Name=WNT1;gbkey=Gene;gene=WNT1;gene_biotype=protein_coding"
"15","Gorilla_gorilla","WNT1","12",37165500,37167500,"-",37181023,37176852,9352,"Down",37165500,0.00300315,0,1,1,0,2,"ID=gene20159;Dbxref=GeneID:101143181;Name=WNT1;gbkey=Gene;gene=WNT1;gene_biotype=protein_coding"
"4","Gorilla_gorilla","WNT10B","12",37165500,37167500,"+",37190117,37196640,22617,"Up",37165500,0.00300315,0,1,1,0,2,"ID=gene20160;Dbxref=GeneID:101142818;Name=WNT10B;gbkey=Gene;gene=WNT10B;gene_biotype=protein_coding"
"36","Gorilla_gorilla","VDR","12",38267500,38269500,"+",38235936,38340169,-31564,"Inter",38267500,0.00305538,0,1,0,2,3,"ID=gene20195;Dbxref=GeneID:101126712;Name=VDR;gbkey=Gene;gene=VDR;gene_biotype=protein_coding"
"37","Gorilla_gorilla","VDR","12",38275500,38278000,"+",38235936,38340169,-39564,"Inter",38275500,0.00308851,0,1,0,1,2,"ID=gene20195;Dbxref=GeneID:101126712;Name=VDR;gbkey=Gene;gene=VDR;gene_biotype=protein_coding"
"38","Gorilla_gorilla","VDR","12",38296000,38298000,"+",38235936,38340169,-60064,"Inter",38296000,0.003074,0,1,0,2,3,"ID=gene20195;Dbxref=GeneID:101126712;Name=VDR;gbkey=Gene;gene=VDR;gene_biotype=protein_coding"
"39","Gorilla_gorilla","VDR","12",38334500,38336500,"+",38235936,38340169,-98564,"Inter",38334500,0.00303611,0,0,2,0,2,"ID=gene20195;Dbxref=GeneID:101126712;Name=VDR;gbkey=Gene;gene=VDR;gene_biotype=protein_coding"
"21","Gorilla_gorilla","VDR","12",38352500,38355500,"+",38235936,38340169,12331,"Down",38352500,0.00311135,0,1,1,5,7,"ID=gene20195;Dbxref=GeneID:101126712;Name=VDR;gbkey=Gene;gene=VDR;gene_biotype=protein_coding"
"5","Gorilla_gorilla","SLC38A1","12",39932500,39934500,"+",39947378,40035801,12878,"Up",39932500,0.00310285,0,1,1,2,4,"ID=gene20208;Dbxref=GeneID:101146475;Name=SLC38A1;gbkey=Gene;gene=SLC38A1;gene_biotype=protein_coding"
"16","Gorilla_gorilla","BICD1","12",52585000,52587000,"-",52705250,52632695,45695,"Down",52585000,0.00304739,0,1,0,1,2,"ID=gene20271;Dbxref=GeneID:101149099;Name=BICD1;gbkey=Gene;gene=BICD1;gene_biotype=protein_coding"
"17","Gorilla_gorilla","BICD1","12",52626000,52628000,"-",52705250,52632695,4695,"Down",52626000,0.00305907,0,0,0,2,2,"ID=gene20271;Dbxref=GeneID:101149099;Name=BICD1;gbkey=Gene;gene=BICD1;gene_biotype=protein_coding"
"18","Gorilla_gorilla","CPM","12",67962500,67964500,"-",68049433,67969136,4636,"Down",67962500,0.00301175,0,0,3,3,6,"ID=gene20408;Dbxref=GeneID:101130328;Name=CPM;gbkey=Gene;gene=CPM;gene_biotype=protein_coding"
"41","Gorilla_gorilla","CPM","12",68008500,68011000,"-",68049433,67969136,-38433,"Inter",68008500,0.0030522,0,1,0,2,3,"ID=gene20408;Dbxref=GeneID:101130328;Name=CPM;gbkey=Gene;gene=CPM;gene_biotype=protein_coding"
"42","Gorilla_gorilla","CPM","12",68014000,68016000,"-",68049433,67969136,-33433,"Inter",68014000,0.00300327,0,1,0,0,1,"ID=gene20408;Dbxref=GeneID:101130328;Name=CPM;gbkey=Gene;gene=CPM;gene_biotype=protein_coding"
"6","Gorilla_gorilla","RAN","12",131048000,131050500,"+",131074408,131079964,23908,"Up",131048000,0.00317508,0,2,1,3,6,"ID=gene20978;Dbxref=GeneID:101143548;Name=RAN;gbkey=Gene;gene=RAN;gene_biotype=protein_coding"
"22","Gorilla_gorilla","RAN","12",131089500,131091500,"+",131074408,131079964,9536,"Down",131089500,0.0031904,0,0,0,0,0,"ID=gene20978;Dbxref=GeneID:101143548;Name=RAN;gbkey=Gene;gene=RAN;gene_biotype=protein_coding"
"7","Gorilla_gorilla","PUS1","12",132145000,132147000,"+",132169665,132184597,22665,"Up",132145000,0.00300156,0,0,1,3,4,"ID=gene20989;Dbxref=GeneID:101147665;Name=PUS1;gbkey=Gene;gene=PUS1;gene_biotype=protein_coding"
"43","Gorilla_gorilla","TP53","17",7654000,7656500,"-",7707057,7687901,31401,"Down",7654000,0.00310299,0,1,1,3,5,"ID=gene25188;Dbxref=GeneID:101133524;Name=TP53;gbkey=Gene;gene=TP53;gene_biotype=protein_coding"
"44","Gorilla_gorilla","TP53","17",7673500,7675500,"-",7707057,7687901,12401,"Down",7673500,0.00302117,0,1,1,0,2,"ID=gene25188;Dbxref=GeneID:101133524;Name=TP53;gbkey=Gene;gene=TP53;gene_biotype=protein_coding"
"45","Gorilla_gorilla","TP53","17",7734000,7736000,"-",7707057,7687901,26943,"Up",7734000,0.00300266,0,1,1,1,3,"ID=gene25188;Dbxref=GeneID:101133524;Name=TP53;gbkey=Gene;gene=TP53;gene_biotype=protein_coding"
"46","Gorilla_gorilla","TP53","17",7735500,7737500,"-",7707057,7687901,28443,"Up",7735500,0.00300675,0,0,1,3,4,"ID=gene25188;Dbxref=GeneID:101133524;Name=TP53;gbkey=Gene;gene=TP53;gene_biotype=protein_coding"
"48","Gorilla_gorilla","CTBP1","4",1157500,1159500,"-",1229391,1192528,33028,"Down",1157500,0.00319434,0,1,0,3,4,"ID=gene7062;Dbxref=GeneID:101134088;Name=CTBP1;gbkey=Gene;gene=CTBP1;gene_biotype=protein_coding"
"55","Gorilla_gorilla","CTBP1","4",1220000,1222000,"-",1229391,1192528,-7391,"Inter",1220000,0.00301584,0,0,0,1,1,"ID=gene7062;Dbxref=GeneID:101134088;Name=CTBP1;gbkey=Gene;gene=CTBP1;gene_biotype=protein_coding"
"51","Gorilla_gorilla","GNRHR","4",60908000,60910500,"+",60869717,60885368,22632,"Down",60908000,0.00322403,0,0,0,0,0,"ID=gene7414;Dbxref=GeneID:101126857;Name=GNRHR;gbkey=Gene;gene=GNRHR;gene_biotype=protein_coding"
"47","Gorilla_gorilla","HERC6","4",99502500,99504500,"+",99517332,99582040,12832,"Up",99502500,0.00302223,0,1,1,2,4,"ID=gene7704;Dbxref=GeneID:101149369;Name=HERC6;gbkey=Gene;gene=HERC6;gene_biotype=protein_coding"
"54","Gorilla_gorilla","HERC6","4",99569000,99571500,"+",99517332,99582040,-51668,"Inter",99569000,0.00316135,0,1,0,2,3,"ID=gene7704;Dbxref=GeneID:101149369;Name=HERC6;gbkey=Gene;gene=HERC6;gene_biotype=protein_coding"
"49","Gorilla_gorilla","UNC5C","4",106383000,106385500,"-",106789500,106435257,49757,"Down",106383000,0.00319649,0,1,1,0,2,"ID=gene7731;Dbxref=GeneID:101127957;Name=UNC5C;gbkey=Gene;gene=UNC5C;gene_biotype=protein_coding"
"50","Gorilla_gorilla","UNC5C","4",106411500,106414000,"-",106789500,106435257,21257,"Down",106411500,0.00325007,0,0,0,1,1,"ID=gene7731;Dbxref=GeneID:101127957;Name=UNC5C;gbkey=Gene;gene=UNC5C;gene_biotype=protein_coding"
"56","Gorilla_gorilla","UNC5C","4",106759000,106761500,"-",106789500,106435257,-28000,"Inter",106759000,0.00424413,1,0,0,1,2,"ID=gene7731;Dbxref=GeneID:101127957;Name=UNC5C;gbkey=Gene;gene=UNC5C;gene_biotype=protein_coding"
"52","Gorilla_gorilla","PDLIM3","4",198423500,198425500,"-",198419791,198386080,3709,"Up",198423500,0.00306882,0,2,1,1,4,"ID=gene8286;Dbxref=GeneID:101135985;Name=PDLIM3;gbkey=Gene;gene=PDLIM3;gene_biotype=protein_coding"
"53","Gorilla_gorilla","PDLIM3","4",198444000,198448000,"-",198419791,198386080,24209,"Up",198444000,0.00335033,0,0,0,0,0,"ID=gene8286;Dbxref=GeneID:101135985;Name=PDLIM3;gbkey=Gene;gene=PDLIM3;gene_biotype=protein_coding"
"57","Gorilla_gorilla","SOCS3","5",4610000,4612500,"+",4655828,4658940,43328,"Up",4610000,0.0030168,0,0,2,2,4,"ID=gene8439;Dbxref=GeneID:101123839;Name=SOCS3;gbkey=Gene;gene=SOCS3;gene_biotype=protein_coding"
"58","Gorilla_gorilla","SOCS3","5",4642500,4644500,"+",4655828,4658940,11328,"Up",4642500,0.00300185,0,1,1,3,5,"ID=gene8439;Dbxref=GeneID:101123839;Name=SOCS3;gbkey=Gene;gene=SOCS3;gene_biotype=protein_coding"
"62","Gorilla_gorilla","BIRC5","5",4758000,4760500,"-",4804777,4794326,33826,"Down",4758000,0.00301028,0,0,3,3,5,"ID=gene8444;Dbxref=GeneID:101152864;Name=BIRC5;gbkey=Gene;gene=BIRC5;gene_biotype=protein_coding"
"82","Gorilla_gorilla","BIRC5","5",4814500,4816500,"-",4804777,4794326,9723,"Up",4814500,0.00303288,0,1,1,3,5,"ID=gene8444;Dbxref=GeneID:101152864;Name=BIRC5;gbkey=Gene;gene=BIRC5;gene_biotype=protein_coding"
"83","Gorilla_gorilla","BIRC5","5",4831000,4833000,"-",4804777,4794326,26223,"Up",4831000,0.00300621,0,0,2,4,6,"ID=gene8444;Dbxref=GeneID:101152864;Name=BIRC5;gbkey=Gene;gene=BIRC5;gene_biotype=protein_coding"
"63","Gorilla_gorilla","SLC9A3R1","5",8225500,8228000,"-",8297095,8276626,48626,"Down",8225500,0.0031161,0,1,1,1,3,"ID=gene8548;Dbxref=GeneID:101150694;Name=SLC9A3R1;gbkey=Gene;gene=SLC9A3R1;gene_biotype=protein_coding"
"64","Gorilla_gorilla","SLC9A3R1","5",8235000,8237000,"-",8297095,8276626,39626,"Down",8235000,0.0030293,0,1,0,1,2,"ID=gene8548;Dbxref=GeneID:101150694;Name=SLC9A3R1;gbkey=Gene;gene=SLC9A3R1;gene_biotype=protein_coding"
"65","Gorilla_gorilla","SLC9A3R1","5",8237500,8240000,"-",8297095,8276626,36626,"Down",8237500,0.00304156,0,1,1,2,4,"ID=gene8548;Dbxref=GeneID:101150694;Name=SLC9A3R1;gbkey=Gene;gene=SLC9A3R1;gene_biotype=protein_coding"
"66","Gorilla_gorilla","SLC9A3R1","5",8254000,8256500,"-",8297095,8276626,20126,"Down",8254000,0.00313831,0,2,1,2,5,"ID=gene8548;Dbxref=GeneID:101150694;Name=SLC9A3R1;gbkey=Gene;gene=SLC9A3R1;gene_biotype=protein_coding"
"94","Gorilla_gorilla","SLC9A3R1","5",8285000,8287000,"-",8297095,8276626,-10095,"Inter",8285000,0.00311412,0,1,1,2,4,"ID=gene8548;Dbxref=GeneID:101150694;Name=SLC9A3R1;gbkey=Gene;gene=SLC9A3R1;gene_biotype=protein_coding"
"84","Gorilla_gorilla","SLC9A3R1","5",8304500,8306500,"-",8297095,8276626,7405,"Up",8304500,0.00303434,0,1,1,1,3,"ID=gene8548;Dbxref=GeneID:101150694;Name=SLC9A3R1;gbkey=Gene;gene=SLC9A3R1;gene_biotype=protein_coding"
"85","Gorilla_gorilla","SLC9A3R1","5",8342000,8344000,"-",8297095,8276626,44905,"Up",8342000,0.00302055,0,1,0,3,4,"ID=gene8548;Dbxref=GeneID:101150694;Name=SLC9A3R1;gbkey=Gene;gene=SLC9A3R1;gene_biotype=protein_coding"
"90","Gorilla_gorilla","SDK2","5",9455500,9458000,"+",9417414,9727764,-38086,"Inter",9455500,0.0030435,0,1,1,1,3,"ID=gene8570;Dbxref=GeneID:101132173;Name=SDK2;gbkey=Gene;gene=SDK2;gene_biotype=protein_coding"
"91","Gorilla_gorilla","SDK2","5",9511500,9514000,"+",9417414,9727764,-94086,"Inter",9511500,0.00304544,0,1,0,2,3,"ID=gene8570;Dbxref=GeneID:101132173;Name=SDK2;gbkey=Gene;gene=SDK2;gene_biotype=protein_coding"
"72","Gorilla_gorilla","SLC16A6","5",14902000,14904000,"+",14841709,14876497,25503,"Down",14902000,0.00301891,0,0,2,1,3,"ID=gene8610;Dbxref=GeneID:101152511;Name=SLC16A6;gbkey=Gene;gene=SLC16A6;gene_biotype=protein_coding"
"92","Gorilla_gorilla","APPBP2","5",22816500,22818500,"+",22778047,22861330,-38453,"Inter",22816500,0.00302857,0,1,0,3,4,"ID=gene8729;Dbxref=GeneID:101152746;Name=APPBP2;gbkey=Gene;gene=APPBP2;gene_biotype=protein_coding"
"73","Gorilla_gorilla","TOB1","5",32557500,32559500,"+",32530566,32534699,22801,"Down",32557500,0.00311433,0,2,0,2,4,"ID=gene8833;Dbxref=GeneID:101147328;Name=TOB1;gbkey=Gene;gene=TOB1;gene_biotype=protein_coding"
"74","Gorilla_gorilla","TOB1","5",32565000,32567500,"+",32530566,32534699,30301,"Down",32565000,0.00312815,0,1,1,2,4,"ID=gene8833;Dbxref=GeneID:101147328;Name=TOB1;gbkey=Gene;gene=TOB1;gene_biotype=protein_coding"
"75","Gorilla_gorilla","TOB1","5",32568000,32570000,"+",32530566,32534699,33301,"Down",32568000,0.00301213,0,1,1,1,3,"ID=gene8833;Dbxref=GeneID:101147328;Name=TOB1;gbkey=Gene;gene=TOB1;gene_biotype=protein_coding"
"67","Gorilla_gorilla","WNT9B","5",36578000,36580000,"-",36623526,36594460,14460,"Down",36578000,0.00329719,0,2,0,1,3,"ID=gene8950;Dbxref=GeneID:101134101;Name=WNT9B;gbkey=Gene;gene=WNT9B;gene_biotype=protein_coding"
"95","Gorilla_gorilla","WNT9B","5",36619500,36621500,"-",36623526,36594460,-2026,"Inter",36619500,0.00307445,0,2,1,1,4,"ID=gene8950;Dbxref=GeneID:101134101;Name=WNT9B;gbkey=Gene;gene=WNT9B;gene_biotype=protein_coding"
"86","Gorilla_gorilla","WNT9B","5",36627000,36629500,"-",36623526,36594460,3474,"Up",36627000,0.00312747,0,2,1,2,5,"ID=gene8950;Dbxref=GeneID:101134101;Name=WNT9B;gbkey=Gene;gene=WNT9B;gene_biotype=protein_coding"
"87","Gorilla_gorilla","MAPT","5",37477000,37479000,"-",37459777,37393889,17223,"Up",37477000,0.00304786,0,1,1,1,3,"ID=gene8963;Dbxref=GeneID:101142624;Name=MAPT;gbkey=Gene;gene=MAPT;gene_biotype=protein_coding"
"88","Gorilla_gorilla","MAPT","5",37479000,37481000,"-",37459777,37393889,19223,"Up",37479000,0.00307597,0,2,0,2,4,"ID=gene8963;Dbxref=GeneID:101142624;Name=MAPT;gbkey=Gene;gene=MAPT;gene_biotype=protein_coding"
"68","Gorilla_gorilla","NMT1","5",38310500,38312500,"-",38373499,38326482,13982,"Down",38310500,0.00320313,0,0,5,4,9,"ID=gene8985;Dbxref=GeneID:101143947;Name=NMT1;gbkey=Gene;gene=NMT1;gene_biotype=protein_coding"
"69","Gorilla_gorilla","NMT1","5",38315500,38317500,"-",38373499,38326482,8982,"Down",38315500,0.00300283,0,0,2,1,3,"ID=gene8985;Dbxref=GeneID:101143947;Name=NMT1;gbkey=Gene;gene=NMT1;gene_biotype=protein_coding"
"59","Gorilla_gorilla","KRT19","5",41893500,41895500,"+",41912135,41916967,16635,"Up",41893500,0.00303033,0,2,0,0,2,"ID=gene9119;Dbxref=GeneID:101147330;Name=KRT19;gbkey=Gene;gene=KRT19;gene_biotype=protein_coding"
"60","Gorilla_gorilla","KRT19","5",41902500,41904500,"+",41912135,41916967,7635,"Up",41902500,0.00303513,0,1,0,3,4,"ID=gene9119;Dbxref=GeneID:101147330;Name=KRT19;gbkey=Gene;gene=KRT19;gene_biotype=protein_coding"
"93","Gorilla_gorilla","KRT19","5",41914500,41916500,"+",41912135,41916967,-2365,"Inter",41914500,0.00302933,0,1,2,1,4,"ID=gene9119;Dbxref=GeneID:101147330;Name=KRT19;gbkey=Gene;gene=KRT19;gene_biotype=protein_coding"
"76","Gorilla_gorilla","KRT19","5",41924000,41927000,"+",41912135,41916967,7033,"Down",41924000,0.00311587,0,1,1,2,4,"ID=gene9119;Dbxref=GeneID:101147330;Name=KRT19;gbkey=Gene;gene=KRT19;gene_biotype=protein_coding"
"77","Gorilla_gorilla","KRT19","5",41937500,41940000,"+",41912135,41916967,20533,"Down",41937500,0.00303024,0,0,2,1,3,"ID=gene9119;Dbxref=GeneID:101147330;Name=KRT19;gbkey=Gene;gene=KRT19;gene_biotype=protein_coding"
"78","Gorilla_gorilla","KRT19","5",41962000,41965500,"+",41912135,41916967,45033,"Down",41962000,0.0033723,0,0,1,5,5,"ID=gene9119;Dbxref=GeneID:101147330;Name=KRT19;gbkey=Gene;gene=KRT19;gene_biotype=protein_coding"
"70","Gorilla_gorilla","IGFBP4","5",42991500,42993500,"-",43029975,43015777,22277,"Down",42991500,0.00304764,0,0,1,4,5,"ID=gene9181;Dbxref=GeneID:101151905;Name=IGFBP4;gbkey=Gene;gene=IGFBP4;gene_biotype=protein_coding"
"89","Gorilla_gorilla","IGFBP4","5",43043000,43045000,"-",43029975,43015777,13025,"Up",43043000,0.00303429,0,1,1,0,2,"ID=gene9181;Dbxref=GeneID:101151905;Name=IGFBP4;gbkey=Gene;gene=IGFBP4;gene_biotype=protein_coding"
"71","Gorilla_gorilla","CDC6","5",43170000,43172000,"-",43196505,43181950,9950,"Down",43170000,0.0030166,0,2,0,2,4,"ID=gene9189;Dbxref=GeneID:101148168;Name=CDC6;gbkey=Gene;gene=CDC6;gene_biotype=protein_coding"
"79","Gorilla_gorilla","ALDOC","5",54950500,54952500,"+",54920762,54924906,25594,"Down",54950500,0.0030144,0,0,1,1,2,"ID=gene9425;Dbxref=GeneID:101134921;Name=ALDOC;gbkey=Gene;gene=ALDOC;gene_biotype=protein_coding"
"80","Gorilla_gorilla","ALDOC","5",54960500,54963000,"+",54920762,54924906,35594,"Down",54960500,0.00307938,0,1,2,4,6,"ID=gene9425;Dbxref=GeneID:101134921;Name=ALDOC;gbkey=Gene;gene=ALDOC;gene_biotype=protein_coding"
"81","Gorilla_gorilla","ALDOC","5",54962500,54964500,"+",54920762,54924906,37594,"Down",54962500,0.00311744,0,2,0,1,3,"ID=gene9425;Dbxref=GeneID:101134921;Name=ALDOC;gbkey=Gene;gene=ALDOC;gene_biotype=protein_coding"
"61","Gorilla_gorilla","VTN","5",55124500,55127000,"+",55129591,55132671,2591,"Up",55124500,0.00308475,0,1,1,3,5,"ID=gene9434;Dbxref=GeneID:101154561;Name=VTN;gbkey=Gene;gene=VTN;gene_biotype=protein_coding"
"96","Gorilla_gorilla","AR","X",67226000,67228500,"+",67248564,67438357,20064,"Up",67226000,0.00304305,0,1,0,2,3,"ID=gene30472;Dbxref=GeneID:101143627;Name=AR;gbkey=Gene;gene=AR;gene_biotype=protein_coding"
"107","Gorilla_gorilla","AR","X",67337000,67339000,"+",67248564,67438357,-88436,"Inter",67337000,0.00301596,0,1,1,2,4,"ID=gene30472;Dbxref=GeneID:101143627;Name=AR;gbkey=Gene;gene=AR;gene_biotype=protein_coding"
"101","Gorilla_gorilla","AR","X",67477500,67479500,"+",67248564,67438357,39143,"Down",67477500,0.00314747,0,1,0,2,3,"ID=gene30472;Dbxref=GeneID:101143627;Name=AR;gbkey=Gene;gene=AR;gene_biotype=protein_coding"
"97","Gorilla_gorilla","FHL1","X",136165500,136167500,"+",136188757,136252706,21257,"Up",136165500,0.00304738,0,2,1,1,4,"ID=gene31046;Dbxref=GeneID:101147378;Name=FHL1;gbkey=Gene;gene=FHL1;gene_biotype=protein_coding"
"102","Gorilla_gorilla","FHL1","X",136255000,136257000,"+",136188757,136252706,2294,"Down",136255000,0.00305527,0,1,1,2,4,"ID=gene31046;Dbxref=GeneID:101147378;Name=FHL1;gbkey=Gene;gene=FHL1;gene_biotype=protein_coding"
"98","Gorilla_gorilla","CDR1","X",140822500,140824500,"-",140867953,140866522,42022,"Down",140822500,0.00300697,0,1,1,1,3,"ID=gene31081;Dbxref=GeneID:101133083;Name=CDR1;gbkey=Gene;gene=CDR1;gene_biotype=protein_coding"
"103","Gorilla_gorilla","CDR1","X",140914000,140916000,"-",140867953,140866522,46047,"Up",140914000,0.00305337,0,1,1,1,3,"ID=gene31081;Dbxref=GeneID:101133083;Name=CDR1;gbkey=Gene;gene=CDR1;gene_biotype=protein_coding"
"99","Gorilla_gorilla","TREX2","X",153693500,153695500,"-",153743259,153740169,44669,"Down",153693500,0.00308491,0,1,0,0,1,"ID=gene31178;Dbxref=GeneID:101149769;Name=TREX2;gbkey=Gene;gene=TREX2;gene_biotype=protein_coding"
"104","Gorilla_gorilla","TREX2","X",153778000,153780500,"-",153743259,153740169,34741,"Up",153778000,0.00312621,0,1,0,1,2,"ID=gene31178;Dbxref=GeneID:101149769;Name=TREX2;gbkey=Gene;gene=TREX2;gene_biotype=protein_coding"
