"","genome_position","N","mean_Kd_inverse","N_over_1.5","N_0.15_to_1.5","N_0.09_to_0.15","N_0.04_to_0.09","Total_over_0.04"
"80064",40032000,1000,0.00283218,0,0,0,1,1
"80065",40032500,1000,0.00280521,0,0,0,1,1
"80066",40033000,1000,0.00281931,0,0,0,0,0
"80067",40033500,1000,0.00280195,0,0,0,0,0
"80068",40034000,1000,0.00262051,0,0,0,0,0
"80069",40034500,1000,0.00252476,0,0,0,0,0
"80070",40035000,1000,0.00261152,0,0,0,0,0
"80071",40035500,1000,0.00274886,0,0,0,1,1
"80072",40036000,1000,0.00290665,0,0,0,3,3
"80073",40036500,1000,0.00284044,0,0,0,3,3
"80074",40037000,1000,0.00262891,0,0,0,1,1
"80075",40037500,1000,0.00262857,0,0,0,1,1
"80076",40038000,1000,0.00269665,0,0,0,1,1
"80077",40038500,1000,0.0026876,0,0,0,0,0
"80078",40039000,1000,0.00270187,0,0,0,0,0
"80079",40039500,1000,0.00269847,0,0,0,1,1
"80080",40040000,1000,0.0028563,0,0,2,2,4
"80081",40040500,1000,0.00290116,0,0,2,3,5
"80082",40041000,1000,0.00276853,0,0,0,3,3
"80083",40041500,1000,0.00267765,0,0,0,1,1
"80084",40042000,1000,0.00257262,0,0,0,0,0
"80085",40042500,1000,0.00247916,0,0,0,0,0
"80086",40043000,1000,0.00255777,0,0,0,0,0
"80087",40043500,1000,0.00271957,0,0,1,1,2
"80088",40044000,1000,0.00270973,0,0,2,1,3
"80089",40044500,1000,0.00272549,0,0,2,1,3
"80090",40045000,1000,0.00275754,0,0,1,3,4
"80091",40045500,1000,0.00285318,0,0,0,4,4
"80092",40046000,1000,0.00278111,0,0,1,3,4
"80093",40046500,1000,0.00266173,0,0,2,2,4
"80094",40047000,1000,0.00270597,0,0,2,2,4
"80095",40047500,1000,0.00274752,0,0,1,2,3
"80096",40048000,1000,0.00260779,0,0,0,1,1
"80097",40048500,1000,0.00261708,0,0,1,0,1
"80098",40049000,1000,0.00278244,0,0,1,1,2
"80099",40049500,1000,0.00286325,0,0,1,3,4
"80100",40050000,1000,0.00314773,0,1,2,4,7
"80101",40050500,1000,0.00296126,0,1,1,2,4
"80102",40051000,1000,0.00266161,0,0,0,1,1
"80103",40051500,1000,0.00267883,0,0,0,2,2
"80104",40052000,1000,0.00273632,0,0,0,3,3
"80105",40052500,1000,0.00277498,0,0,0,2,2
"80106",40053000,1000,0.00266844,0,0,0,1,1
"80107",40053500,1000,0.00271005,0,0,1,1,2
"80108",40054000,1000,0.00273528,0,0,1,0,1
"80109",40054500,1000,0.00266183,0,0,0,0,0
"80110",40055000,1000,0.00254982,0,0,0,0,0
"80111",40055500,1000,0.00265736,0,0,1,0,1
"80112",40056000,1000,0.00275813,0,0,1,0,1
"80113",40056500,1000,0.00265491,0,0,0,1,1
"80114",40057000,1000,0.00266324,0,0,0,2,2
"80115",40057500,1000,0.00266159,0,0,0,1,1
"80116",40058000,1000,0.00266571,0,0,0,0,0
"80117",40058500,1000,0.00270494,0,0,1,1,2
"80118",40059000,1000,0.00278472,0,0,1,2,3
"80119",40059500,1000,0.00309253,0,2,0,1,3
"80120",40060000,1000,0.00298087,0,2,0,0,2
"80121",40060500,1000,0.00256787,0,0,0,0,0
"80122",40061000,1000,0.00263654,0,0,0,1,1
"80123",40061500,1000,0.00270596,0,0,0,1,1
"80124",40062000,1000,0.00264371,0,0,1,0,1
"80125",40062500,1000,0.00243488,0,0,1,0,1
"80126",40063000,1000,0.0022481,0,0,0,0,0
"80127",40063500,1000,0.00240358,0,0,0,0,0
"80128",40064000,1000,0.00267437,0,0,0,0,0
"80129",40064500,1000,0.00286512,0,0,0,1,1
"80130",40065000,1000,0.00277036,0,0,0,1,1
"80131",40065500,1000,0.00260584,0,0,0,0,0
"80132",40066000,1000,0.00271035,0,0,0,2,2
"80133",40066500,1000,0.00275069,0,0,0,3,3
"80134",40067000,1000,0.00265523,0,0,0,1,1
"80135",40067500,1000,0.00266431,0,0,0,0,0
"80136",40068000,1000,0.0026395,0,0,0,0,0
"80137",40068500,1000,0.00266686,0,0,0,0,0
"80138",40069000,1000,0.00271314,0,0,0,0,0
"80139",40069500,1000,0.00280303,0,1,0,1,2
"80140",40070000,1000,0.00281503,0,1,0,1,2
"80141",40070500,1000,0.00262976,0,0,0,0,0
"80142",40071000,1000,0.00252983,0,0,0,0,0
"80143",40071500,1000,0.00258808,0,0,0,0,0
"80144",40072000,1000,0.00265383,0,0,0,0,0
"80145",40072500,1000,0.00272198,0,0,1,0,1
"80146",40073000,1000,0.00277008,0,0,1,0,1
"80147",40073500,1000,0.00270365,0,0,0,0,0
"80148",40074000,1000,0.0025794,0,0,0,0,0
"80149",40074500,1000,0.00261646,0,0,0,0,0
"80150",40075000,1000,0.00263046,0,0,0,0,0
"80151",40075500,1000,0.00277048,0,0,1,1,2
"80152",40076000,1000,0.00296907,0,1,1,1,3
"80153",40076500,1000,0.00293915,0,1,1,0,2
"80154",40077000,1000,0.0029278,0,0,2,1,3
"80155",40077500,1000,0.00289461,0,0,2,2,4
"80156",40078000,1000,0.00276916,0,0,1,2,3
"80157",40078500,1000,0.00270514,0,0,0,2,2
"80158",40079000,1000,0.00280642,0,0,1,2,3
"80159",40079500,1000,0.00280191,0,0,2,1,3
"80160",40080000,1000,0.00273368,0,0,1,0,1
"80161",40080500,1000,0.0027573,0,0,0,2,2
"80162",40081000,1000,0.00281206,0,0,0,2,2
"80163",40081500,1000,0.00275448,0,0,1,1,2
"80164",40082000,1000,0.00267287,0,0,1,1,2
"80165",40082500,1000,0.00256888,0,0,0,1,1
"80166",40083000,1000,0.00274531,0,0,1,3,4
"80167",40083500,1000,0.00282925,0,0,1,2,3
"80168",40084000,1000,0.00284308,0,1,0,0,1
"80169",40084500,1000,0.00286148,0,1,0,0,1
"80170",40085000,1000,0.00266155,0,0,0,1,1
"80171",40085500,1000,0.00275777,0,0,1,2,3
"80172",40086000,1000,0.00274145,0,0,1,1,2
"80173",40086500,1000,0.00283002,0,0,0,2,2
"80174",40087000,1000,0.00298057,0,0,0,2,2
"80175",40087500,1000,0.0029197,0,0,1,1,2
"80176",40088000,1000,0.00288718,0,0,1,1,2
"80177",40088500,1000,0.00272831,0,0,0,1,1
"80178",40089000,1000,0.00278345,0,0,0,1,1
"80179",40089500,1000,0.00277616,0,0,0,0,0
"80180",40090000,1000,0.00259983,0,0,0,0,0
"80181",40090500,1000,0.00264776,0,0,0,0,0
"80182",40091000,1000,0.00275224,0,0,0,1,1
"80183",40091500,1000,0.00291397,0,1,0,1,2
"80184",40092000,1000,0.00285777,0,1,0,1,2
"80185",40092500,1000,0.00259667,0,0,0,2,2
"80186",40093000,1000,0.00266548,0,0,0,1,1
"80187",40093500,1000,0.00286906,0,1,0,0,1
"80188",40094000,1000,0.00276302,0,1,0,0,1
"80189",40094500,1000,0.00280035,0,1,0,2,3
"80190",40095000,1000,0.00281792,0,1,0,2,3
"80191",40095500,1000,0.00265266,0,0,0,1,1
"80192",40096000,1000,0.00268927,0,0,0,1,1
"80193",40096500,1000,0.00273729,0,0,0,0,0
"80194",40097000,1000,0.00270415,0,0,0,0,0
"80195",40097500,1000,0.00265376,0,0,0,0,0
"80196",40098000,1000,0.00288661,0,1,1,0,2
"80197",40098500,1000,0.00313234,0,1,3,0,4
"80198",40099000,1000,0.00281994,0,0,2,0,2
"80199",40099500,1000,0.00260911,0,0,0,1,1
"80200",40100000,1000,0.00272196,0,0,0,1,1
"80201",40100500,1000,0.00261437,0,0,0,0,0
"80202",40101000,1000,0.00262519,0,0,0,0,0
"80203",40101500,1000,0.00281468,0,0,0,2,2
"80204",40102000,1000,0.00289221,0,0,1,3,4
"80205",40102500,1000,0.00296289,0,0,2,3,5
"80206",40103000,1000,0.00312314,0,1,1,2,4
"80207",40103500,1000,0.00296215,0,1,0,1,2
"80208",40104000,1000,0.00279119,0,0,0,3,3
"80209",40104500,1000,0.00283115,0,0,0,4,4
"80210",40105000,1000,0.00268335,0,0,0,2,2
"80211",40105500,1000,0.00261023,0,0,0,0,0
"80212",40106000,1000,0.00273136,0,0,0,1,1
"80213",40106500,1000,0.00278248,0,0,0,3,3
"80214",40107000,1000,0.00264517,0,0,0,3,3
"80215",40107500,1000,0.00264915,0,0,0,1,1
"80216",40108000,1000,0.00266315,0,0,0,0,0
"80217",40108500,1000,0.00262532,0,0,1,1,2
"80218",40109000,1000,0.00267139,0,0,1,1,2
"80219",40109500,1000,0.00263237,0,0,0,0,0
"80220",40110000,1000,0.00269726,0,0,0,0,0
"80221",40110500,1000,0.00276728,0,0,0,0,0
"80222",40111000,1000,0.00270764,0,0,0,0,0
"80223",40111500,1000,0.00275988,0,0,0,0,0
"80224",40112000,1000,0.00273918,0,0,0,1,1
"80225",40112500,1000,0.00262967,0,0,0,2,2
"80226",40113000,1000,0.00263985,0,0,0,1,1
"80227",40113500,1000,0.00265802,0,0,0,0,0
"80228",40114000,1000,0.00275661,0,0,1,2,3
"80229",40114500,1000,0.00286214,0,1,1,3,5
"80230",40115000,1000,0.0028885,0,1,0,1,2
"80231",40115500,1000,0.00280438,0,0,0,2,2
"80232",40116000,1000,0.00268015,0,0,0,4,4
"80233",40116500,1000,0.00261053,0,0,0,2,2
"80234",40117000,1000,0.00274487,0,0,0,3,3
"80235",40117500,1000,0.0029074,0,0,1,4,5
"80236",40118000,1000,0.00276102,0,0,1,1,2
"80237",40118500,1000,0.00260494,0,0,0,0,0
"80238",40119000,1000,0.00282003,0,0,1,3,4
"80239",40119500,1000,0.00288915,0,0,1,3,4
"80240",40120000,1000,0.00268154,0,0,0,0,0
"80241",40120500,1000,0.00267168,0,0,0,1,1
"80242",40121000,1000,0.00266565,0,0,0,1,1
"80243",40121500,1000,0.00243351,0,0,0,0,0
"80244",40122000,1000,0.00228226,0,0,0,0,0
"80245",40122500,1000,0.00232243,0,0,0,0,0
"80246",40123000,1000,0.00243442,0,0,0,0,0
"80247",40123500,1000,0.00260008,0,0,0,0,0
"80248",40124000,1000,0.00256152,0,0,0,0,0
"80249",40124500,1000,0.00260139,0,0,0,0,0
"80250",40125000,1000,0.00262878,0,0,0,0,0
"80251",40125500,1000,0.00264455,0,0,0,1,1
"80252",40126000,1000,0.00268205,0,0,0,1,1
"80253",40126500,1000,0.00266232,0,0,0,1,1
"80254",40127000,1000,0.00272915,0,0,0,2,2
"80255",40127500,1000,0.00282912,0,0,1,2,3
"80256",40128000,1000,0.00273169,0,0,1,1,2
"80257",40128500,1000,0.00279322,0,0,2,1,3
"80258",40129000,1000,0.00279534,0,0,2,1,3
"80259",40129500,1000,0.00259418,0,0,0,0,0
"80260",40130000,1000,0.00259058,0,0,0,0,0
"80261",40130500,1000,0.00260515,0,0,0,0,0
"80262",40131000,1000,0.00262059,0,0,0,0,0
"80263",40131500,1000,0.00263829,0,0,0,0,0
"80264",40132000,1000,0.0027076,0,0,0,0,0
"80265",40132500,1000,0.002595,0,0,0,0,0
"80266",40133000,1000,0.0027608,0,0,1,1,2
"80267",40133500,1000,0.00280416,0,0,1,1,2
"80268",40134000,1000,0.00261642,0,0,0,1,1
"80269",40134500,1000,0.00264221,0,0,0,2,2
"80270",40135000,1000,0.00257326,0,0,0,1,1
"80271",40135500,1000,0.00265114,0,0,0,1,1
"80272",40136000,1000,0.00270703,0,0,0,1,1
"80273",40136500,1000,0.00256423,0,0,0,0,0
"80274",40137000,1000,0.00262403,0,0,1,0,1
"80275",40137500,1000,0.0026791,0,0,2,0,2
"80276",40138000,1000,0.00262788,0,0,1,2,3
"80277",40138500,1000,0.00277208,0,0,1,5,6
"80278",40139000,1000,0.00266107,0,0,1,3,4
"80279",40139500,1000,0.00253916,0,0,0,1,1
"80280",40140000,1000,0.00262231,0,0,0,1,1
"80281",40140500,1000,0.00249096,0,0,0,0,0
"80282",40141000,1000,0.00256357,0,0,0,2,2
"80283",40141500,1000,0.0027843,0,0,0,3,3
"80284",40142000,1000,0.00262174,0,0,0,1,1
"80285",40142500,1000,0.00260194,0,0,1,1,2
"80286",40143000,1000,0.0027874,0,0,2,1,3
"80287",40143500,1000,0.00268737,0,0,1,1,2
"80288",40144000,1000,0.00263799,0,0,0,1,1
"80289",40144500,1000,0.00269808,0,0,0,1,1
"80290",40145000,1000,0.00278269,0,0,1,2,3
"80291",40145500,1000,0.00278649,0,0,2,2,4
"80292",40146000,1000,0.00270521,0,0,1,1,2
"80293",40146500,1000,0.00289904,0,1,0,2,3
"80294",40147000,1000,0.00282359,0,1,0,2,3
"80295",40147500,1000,0.00254715,0,0,0,0,0
"80296",40148000,1000,0.00262953,0,0,1,0,1
"80297",40148500,1000,0.00270117,0,0,1,1,2
"80298",40149000,1000,0.00274735,0,0,0,2,2
"80299",40149500,1000,0.00286355,0,0,2,2,4
"80300",40150000,1000,0.00277789,0,0,2,1,3
"80301",40150500,1000,0.00272211,0,0,1,0,1
"80302",40151000,1000,0.00278586,0,0,1,1,2
"80303",40151500,1000,0.00266711,0,0,0,1,1
"80304",40152000,1000,0.00259523,0,0,0,0,0
"80305",40152500,1000,0.00274178,0,0,1,1,2
"80306",40153000,1000,0.0027493,0,0,1,1,2
"80307",40153500,1000,0.00273332,0,0,0,2,2
"80308",40154000,1000,0.00271129,0,0,0,5,5
"80309",40154500,1000,0.00253438,0,0,0,3,3
"80310",40155000,1000,0.00262301,0,0,1,0,1
"80311",40155500,1000,0.00270548,0,0,1,0,1
"80312",40156000,1000,0.00273154,0,0,1,1,2
"80313",40156500,1000,0.00272868,0,0,1,2,3
"80314",40157000,1000,0.00272472,0,0,1,3,4
"80315",40157500,1000,0.00272626,0,0,1,2,3
"80316",40158000,1000,0.00277124,0,0,0,1,1
"80317",40158500,1000,0.00287487,0,0,1,1,2
"80318",40159000,1000,0.00276214,0,0,1,0,1
"80319",40159500,1000,0.0026427,0,0,0,0,0
"80320",40160000,1000,0.00261582,0,0,0,0,0
"80321",40160500,1000,0.00263235,0,0,1,1,2
"80322",40161000,1000,0.00262785,0,0,1,3,4
"80323",40161500,1000,0.00265988,0,0,0,4,4
"80324",40162000,1000,0.00273998,0,0,0,2,2
"80325",40162500,1000,0.00273279,0,0,0,0,0
"80326",40163000,1000,0.00269544,0,0,0,2,2
"80327",40163500,1000,0.00277375,0,0,0,2,2
"80328",40164000,1000,0.00276425,0,0,0,0,0
"80329",40164500,1000,0.00270721,0,0,0,1,1
"80330",40165000,1000,0.00290331,0,0,2,3,5
"80331",40165500,1000,0.00288707,0,0,2,3,5
"80332",40166000,1000,0.00268493,0,0,0,1,1
"80333",40166500,1000,0.00262207,0,0,0,1,1
"80334",40167000,1000,0.00255008,0,0,0,1,1
"80335",40167500,1000,0.0026365,0,0,0,2,2
"80336",40168000,1000,0.00274195,0,0,0,2,2
"80337",40168500,1000,0.00280785,0,0,0,2,2
"80338",40169000,1000,0.00270488,0,0,0,2,2
"80339",40169500,1000,0.00258942,0,0,0,2,2
"80340",40170000,1000,0.00261057,0,0,0,2,2
"80341",40170500,1000,0.00255876,0,0,0,0,0
"80342",40171000,1000,0.00265434,0,0,0,1,1
"80343",40171500,1000,0.00269926,0,0,0,1,1
"80344",40172000,1000,0.00264776,0,0,0,1,1
"80345",40172500,1000,0.0026323,0,0,0,1,1
"80346",40173000,1000,0.00269559,0,0,0,2,2
"80347",40173500,1000,0.00266983,0,0,0,2,2
"80348",40174000,1000,0.0025991,0,0,0,0,0
"80349",40174500,1000,0.00269853,0,0,0,0,0
"80350",40175000,1000,0.0027068,0,0,1,0,1
"80351",40175500,1000,0.00275838,0,0,1,2,3
"80352",40176000,1000,0.00276668,0,0,0,3,3
"80353",40176500,1000,0.00274773,0,0,0,1,1
"80354",40177000,1000,0.0027125,0,0,0,0,0
"80355",40177500,1000,0.00250589,0,0,0,0,0
"80356",40178000,1000,0.00238369,0,0,0,0,0
"80357",40178500,1000,0.00249841,0,0,0,0,0
"80358",40179000,1000,0.00283336,0,0,1,3,4
"80359",40179500,1000,0.00283964,0,0,1,3,4
"80360",40180000,1000,0.00270748,0,0,0,0,0
"80361",40180500,1000,0.00272094,0,0,0,0,0
"80362",40181000,1000,0.00266893,0,0,0,0,0
"80363",40181500,1000,0.00276439,0,0,0,2,2
"80364",40182000,1000,0.00274622,0,0,0,2,2
"80365",40182500,1000,0.00276835,0,0,1,1,2
"80366",40183000,1000,0.002797,0,0,1,1,2
"80367",40183500,1000,0.00278161,0,0,1,0,1
"80368",40184000,1000,0.00284342,0,0,2,1,3
"80369",40184500,1000,0.00276843,0,0,1,1,2
"80370",40185000,1000,0.00287144,0,0,0,3,3
"80371",40185500,1000,0.00284425,0,0,0,5,5
"80372",40186000,1000,0.00282297,0,0,1,4,5
"80373",40186500,1000,0.0028488,0,0,2,2,4
"80374",40187000,1000,0.00265352,0,0,1,0,1
"80375",40187500,1000,0.00265399,0,0,0,2,2
"80376",40188000,1000,0.00282324,0,0,1,3,4
"80377",40188500,1000,0.00293227,0,1,1,1,3
"80378",40189000,1000,0.00290007,0,1,0,1,2
"80379",40189500,1000,0.00286132,0,0,0,1,1
"80380",40190000,1000,0.00279219,0,0,0,0,0
"80381",40190500,1000,0.00264257,0,0,0,0,0
"80382",40191000,1000,0.00277515,0,1,0,0,1
"80383",40191500,1000,0.00279823,0,1,0,1,2
"80384",40192000,1000,0.00260125,0,0,0,1,1
"80385",40192500,1000,0.00268509,0,0,0,0,0
"80386",40193000,1000,0.00278542,0,0,0,0,0
"80387",40193500,1000,0.00293684,0,0,1,0,1
"80388",40194000,1000,0.00293773,0,0,1,1,2
"80389",40194500,1000,0.00264479,0,0,0,1,1
"80390",40195000,1000,0.00254085,0,0,0,0,0
"80391",40195500,1000,0.00265803,0,0,0,0,0
"80392",40196000,1000,0.00267457,0,0,0,0,0
"80393",40196500,1000,0.00282419,0,0,1,2,3
"80394",40197000,1000,0.00292301,0,0,1,4,5
"80395",40197500,1000,0.00267936,0,0,0,2,2
"80396",40198000,1000,0.0025707,0,0,0,0,0
"80397",40198500,1000,0.00274093,0,0,0,2,2
"80398",40199000,1000,0.00287856,0,0,0,3,3
"80399",40199500,1000,0.00273057,0,0,0,2,2
"80400",40200000,1000,0.00271007,0,0,1,2,3
"80401",40200500,1000,0.00276359,0,0,1,1,2
"80402",40201000,1000,0.00279018,0,1,0,0,1
"80403",40201500,1000,0.0028294,0,1,0,2,3
"80404",40202000,1000,0.00272051,0,0,0,3,3
"80405",40202500,1000,0.00277307,0,0,1,2,3
"80406",40203000,1000,0.0027336,0,0,1,2,3
"80407",40203500,1000,0.00268947,0,0,0,3,3
"80408",40204000,1000,0.00275837,0,0,0,3,3
"80409",40204500,1000,0.00268272,0,0,0,2,2
"80410",40205000,1000,0.00279019,0,0,1,4,5
"80411",40205500,1000,0.00286963,0,0,1,5,6
"80412",40206000,1000,0.00286773,0,0,1,2,3
"80413",40206500,1000,0.00281633,0,0,1,1,2
"80414",40207000,1000,0.00263817,0,0,0,1,1
"80415",40207500,1000,0.00274707,0,0,1,1,2
"80416",40208000,1000,0.00285454,0,0,1,2,3
"80417",40208500,1000,0.00270636,0,0,0,2,2
"80418",40209000,1000,0.00267098,0,0,0,3,3
"80419",40209500,1000,0.00279411,0,0,0,3,3
"80420",40210000,1000,0.00275922,0,0,0,1,1
"80421",40210500,1000,0.00270331,0,0,0,1,1
"80422",40211000,1000,0.002697,0,0,0,1,1
"80423",40211500,1000,0.00262519,0,0,0,1,1
"80424",40212000,1000,0.00266456,0,0,0,3,3
"80425",40212500,1000,0.0026913,0,0,0,3,3
"80426",40213000,1000,0.00270957,0,0,1,2,3
"80427",40213500,1000,0.00297794,0,0,3,3,6
"80428",40214000,1000,0.00300844,0,0,2,6,8
"80429",40214500,1000,0.00284025,0,0,1,4,5
"80430",40215000,1000,0.00298135,0,0,2,2,4
"80431",40215500,1000,0.00286032,0,0,1,3,4
"80432",40216000,1000,0.00262127,0,0,0,2,2
"80433",40216500,1000,0.00268261,0,0,1,1,2
"80434",40217000,1000,0.00268834,0,0,1,0,1
"80435",40217500,1000,0.00270284,0,0,0,0,0
"80436",40218000,1000,0.00270129,0,0,0,0,0
"80437",40218500,1000,0.00262768,0,0,0,0,0
"80438",40219000,1000,0.00248781,0,0,0,0,0
"80439",40219500,1000,0.00246506,0,0,0,2,2
"80440",40220000,1000,0.00261344,0,0,0,2,2
"80441",40220500,1000,0.00262395,0,0,0,1,1
"80442",40221000,1000,0.00260578,0,0,1,1,2
"80443",40221500,1000,0.00265827,0,0,1,1,2
"80444",40222000,1000,0.00278157,0,0,1,2,3
"80445",40222500,1000,0.00283202,0,0,1,2,3
"80446",40223000,1000,0.00267968,0,0,0,1,1
"80447",40223500,1000,0.00267211,0,0,1,0,1
"80448",40224000,1000,0.00274308,0,0,1,1,2
"80449",40224500,1000,0.00266976,0,0,0,1,1
"80450",40225000,1000,0.00256517,0,0,0,0,0
"80451",40225500,1000,0.0025194,0,0,0,0,0
"80452",40226000,1000,0.00264694,0,0,1,1,2
"80453",40226500,1000,0.0027979,0,0,1,3,4
"80454",40227000,1000,0.00277168,0,0,0,4,4
"80455",40227500,1000,0.00272289,0,0,1,2,3
"80456",40228000,1000,0.00273511,0,0,2,1,3
"80457",40228500,1000,0.00272816,0,0,1,1,2
"80458",40229000,1000,0.00280993,0,0,1,1,2
"80459",40229500,1000,0.00285582,0,0,2,1,3
"80460",40230000,1000,0.0029034,0,0,2,0,2
"80461",40230500,1000,0.00266902,0,0,1,0,1
"80462",40231000,1000,0.00251163,0,0,0,0,0
"80463",40231500,1000,0.0026528,0,0,0,2,2
"80464",40232000,1000,0.00270399,0,0,0,5,5
"80465",40232500,1000,0.00275927,0,0,0,4,4
"80466",40233000,1000,0.00276526,0,0,1,2,3
"80467",40233500,1000,0.00275344,0,0,1,1,2
"80468",40234000,1000,0.00270859,0,0,0,1,1
"80469",40234500,1000,0.00263725,0,0,0,1,1
"80470",40235000,1000,0.00250096,0,0,0,0,0
"80471",40235500,1000,0.00261233,0,0,0,0,0
"80472",40236000,1000,0.00278564,0,0,1,1,2
"80473",40236500,1000,0.00269323,0,0,1,3,4
"80474",40237000,1000,0.00265059,0,0,0,4,4
"80475",40237500,1000,0.00259387,0,0,0,3,3
"80476",40238000,1000,0.0026539,0,0,0,3,3
"80477",40238500,1000,0.00285168,0,0,0,6,6
"80478",40239000,1000,0.00282071,0,0,1,6,7
"80479",40239500,1000,0.00272901,0,0,1,4,5
"80480",40240000,1000,0.00273014,0,0,0,2,2
"80481",40240500,1000,0.00278822,0,0,1,1,2
"80482",40241000,1000,0.00272817,0,0,1,1,2
"80483",40241500,1000,0.00258016,0,0,0,0,0
"80484",40242000,1000,0.00274583,0,0,0,1,1
"80485",40242500,1000,0.00286433,0,0,0,3,3
"80486",40243000,1000,0.00262834,0,0,0,2,2
"80487",40243500,1000,0.0025729,0,0,0,1,1
"80488",40244000,1000,0.00277141,0,0,0,3,3
"80489",40244500,1000,0.00279619,0,0,0,2,2
"80490",40245000,1000,0.0027027,0,0,0,0,0
"80491",40245500,1000,0.00267726,0,0,0,2,2
"80492",40246000,1000,0.00268254,0,0,0,3,3
"80493",40246500,1000,0.00269576,0,0,0,3,3
"80494",40247000,1000,0.00272288,0,0,1,2,3
"80495",40247500,1000,0.00276836,0,0,1,3,4
"80496",40248000,1000,0.00267001,0,0,0,4,4
"80497",40248500,1000,0.0025325,0,0,0,1,1
"80498",40249000,1000,0.00251495,0,0,0,0,0
"80499",40249500,1000,0.00268436,0,0,0,2,2
"80500",40250000,1000,0.00294718,0,0,1,6,7
"80501",40250500,1000,0.00282866,0,0,1,4,5
"80502",40251000,1000,0.00267927,0,0,0,3,3
"80503",40251500,1000,0.00269386,0,0,0,3,3
"80504",40252000,1000,0.00272116,0,0,0,2,2
"80505",40252500,1000,0.00271441,0,0,0,3,3
"80506",40253000,1000,0.00269321,0,0,1,2,3
"80507",40253500,1000,0.00265714,0,0,1,1,2
"80508",40254000,1000,0.00256514,0,0,0,1,1
"80509",40254500,1000,0.0027579,0,0,1,2,3
"80510",40255000,1000,0.00277209,0,0,1,1,2
"80511",40255500,1000,0.00263924,0,0,0,1,1
"80512",40256000,1000,0.00268348,0,0,0,1,1
